Time,Sex,AgeGrpStart,mx
2030,Female,0,0.03029924
2030,Female,1,0.00350944
2030,Female,5,0.00106624
2030,Female,10,0.00085916
2030,Female,15,0.00145229
2030,Female,20,0.00232607
2030,Female,25,0.00337978
2030,Female,30,0.0045267
2030,Female,35,0.00596046
2030,Female,40,0.00749925
2030,Female,45,0.00952148
2030,Female,50,0.01248876
2030,Female,55,0.01648955
2030,Female,60,0.02345885
2030,Female,65,0.03335969
2030,Female,70,0.04633754
2030,Female,75,0.06475284
2030,Female,80,0.09554268
2030,Female,85,0.14926109
2030,Female,90,0.21944756
2030,Female,95,0.3107096
2030,Female,100,0.4267486
