t,n_alive,new_deaths,cum_deaths,pregnancy.pregnancies,pregnancy.births,pregnancy.cbr,deaths.new,deaths.cumulative,deaths.cmr,hiv.n_on_art,hiv.n_susceptible,hiv.n_infected,hiv.prevalence,hiv.new_infections,hiv.cum_infections,hiv.new_deaths,hiv.Agent10_cd4,hiv.Agent10_V_level,hiv.Agent11_cd4,hiv.Agent11_V_level
1990.567123287663,10081807.0899,1996.1998,79847.992,0.0,0.0,0.0,998.0999,60884.093900000036,9.9000099000099e-05,0.0,9113650.186900001,968156.903,0.09603009603009603,0.0,995105.6003,1,500,0,100,0
1990.5698630136903,10084801.389600001,998.0999,81844.1918,3992.3996,0.0,0.0,998.0999,61882.19380000004,9.897070467141726e-05,0.0,9116644.4866,968156.903,0.09600158353127475,0.0,995105.6003,0,500,0,100,0
1990.5726027397177,10084801.389600001,0.0,82842.2917,0.0,0.0,0.0,0.0,61882.19380000004,0.0,0.0,9116644.4866,968156.903,0.09600158353127475,0.0,995105.6003,0,500,0,100,0
1990.575342465745,10084801.389600001,0.0,82842.2917,0.0,0.0,0.0,0.0,61882.19380000004,0.0,0.0,9116644.4866,968156.903,0.09600158353127475,0.0,995105.6003,0,500,0,100,0
1990.5780821917724,10084801.389600001,998.0999,82842.2917,998.0999,0.0,0.0,998.0999,62880.29370000004,9.897070467141726e-05,0.0,9116644.4866,968156.903,0.09600158353127475,0.0,995105.6003,0,500,0,100,0
1990.5808219177998,10085799.489500001,0.0,83840.3916,998.0999,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9117642.5865,968156.903,0.09599208312716477,0.0,995105.6003,0,500,0,100,0
1990.5835616438271,10086797.5894,0.0,83840.3916,998.0999,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9118640.6864,968156.903,0.09598258460320602,0.0,995105.6003,0,500,0,100,0
1990.5863013698545,10085799.489500001,998.0999,83840.3916,0.0,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9118640.6864,967158.8031,0.0958931222167244,0.0,995105.6003,1,500,0,100,0
1990.5890410958818,10086797.5894,0.0,84838.4915,998.0999,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9119638.7863,967158.8031,0.09588363348505838,0.0,995105.6003,0,500,0,100,0
1990.5917808219092,10087795.6893,0.0,84838.4915,998.0999,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9120636.8862,967158.8031,0.09587414663104779,0.0,995105.6003,0,500,0,100,0
1990.5945205479366,10088793.7892,0.0,84838.4915,998.0999,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9121634.986100001,967158.8031,0.09586466165413533,0.0,995105.6003,0,500,0,100,0
1990.597260273964,10088793.7892,0.0,84838.4915,0.0,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9121634.986100001,967158.8031,0.09586466165413533,0.0,995105.6003,0,500,0,100,0
1990.5999999999913,10089791.8891,0.0,84838.4915,998.0999,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9122633.086000001,967158.8031,0.09585517855376398,0.0,995105.6003,0,500,0,100,0
1990.6027397260186,10088793.7892,998.0999,84838.4915,0.0,0.0,0.0,0.0,62880.29370000004,0.0,0.0,9122633.086000001,966160.7032,0.09576573011476058,0.0,995105.6003,1,500,0,100,0
